,Unnamed: 0,workerId,conditionCE,conditionHeadN,level,arrayTraining,seenInTraining,participantText,compositionalAnswer,encodingCorrected,encodingCompositional,correctness,consonants,prepMGloss,prepRGloss,Grammar_HInitial-noCE.m.Left.r.Atop,Grammar_HInitial-noCE.m.Atop.r.Left,Grammar_HInitial-noCE.m.Left.r.Under,Grammar_HInitial-noCE.m.Atop.r.Right,Grammar_HInitial-noCE.m.Right.r.Atop,Grammar_HInitial-noCE.m.Under.r.Left,Grammar_HInitial-noCE.m.Right.r.Under,Grammar_HInitial-noCE.m.Under.r.Right,Grammar_HFinal-noCE.m.Left.r.Atop,Grammar_HFinal-noCE.m.Atop.r.Left,Grammar_HFinal-noCE.m.Left.r.Under,Grammar_HFinal-noCE.m.Atop.r.Right,Grammar_HFinal-noCE.m.Right.r.Atop,Grammar_HFinal-noCE.m.Under.r.Left,Grammar_HFinal-noCE.m.Right.r.Under,Grammar_HFinal-noCE.m.Under.r.Right,Grammar_HInitial-CE.m.Left.r.Atop,Grammar_HInitial-CE.m.Atop.r.Left,Grammar_HInitial-CE.m.Left.r.Under,Grammar_HInitial-CE.m.Atop.r.Right,Grammar_HInitial-CE.m.Right.r.Atop,Grammar_HInitial-CE.m.Under.r.Left,Grammar_HInitial-CE.m.Right.r.Under,Grammar_HInitial-CE.m.Under.r.Right,Grammar_HFinal-CE.m.Left.r.Atop,Grammar_HFinal-CE.m.Atop.r.Left,Grammar_HFinal-CE.m.Left.r.Under,Grammar_HFinal-CE.m.Atop.r.Right,Grammar_HFinal-CE.m.Right.r.Atop,Grammar_HFinal-CE.m.Under.r.Left,Grammar_HFinal-CE.m.Right.r.Under,Grammar_HFinal-CE.m.Under.r.Right,Grammar_HInitial-Crossed-PreP.m.Left.r.Atop,Grammar_HInitial-Crossed-PreP.m.Atop.r.Left,Grammar_HInitial-Crossed-PreP.m.Left.r.Under,Grammar_HInitial-Crossed-PreP.m.Atop.r.Right,Grammar_HInitial-Crossed-PreP.m.Right.r.Atop,Grammar_HInitial-Crossed-PreP.m.Under.r.Left,Grammar_HInitial-Crossed-PreP.m.Right.r.Under,Grammar_HInitial-Crossed-PreP.m.Under.r.Right,Grammar_HInitial-Crossed-PostP.m.Left.r.Atop,Grammar_HInitial-Crossed-PostP.m.Atop.r.Left,Grammar_HInitial-Crossed-PostP.m.Left.r.Under,Grammar_HInitial-Crossed-PostP.m.Atop.r.Right,Grammar_HInitial-Crossed-PostP.m.Right.r.Atop,Grammar_HInitial-Crossed-PostP.m.Under.r.Left,Grammar_HInitial-Crossed-PostP.m.Right.r.Under,Grammar_HInitial-Crossed-PostP.m.Under.r.Right,Grammar_HFinal-Crossed-PreP.m.Left.r.Atop,Grammar_HFinal-Crossed-PreP.m.Atop.r.Left,Grammar_HFinal-Crossed-PreP.m.Left.r.Under,Grammar_HFinal-Crossed-PreP.m.Atop.r.Right,Grammar_HFinal-Crossed-PreP.m.Right.r.Atop,Grammar_HFinal-Crossed-PreP.m.Under.r.Left,Grammar_HFinal-Crossed-PreP.m.Right.r.Under,Grammar_HFinal-Crossed-PreP.m.Under.r.Right,Grammar_HFinal-Crossed-PostP.m.Left.r.Atop,Grammar_HFinal-Crossed-PostP.m.Atop.r.Left,Grammar_HFinal-Crossed-PostP.m.Left.r.Under,Grammar_HFinal-Crossed-PostP.m.Atop.r.Right,Grammar_HFinal-Crossed-PostP.m.Right.r.Atop,Grammar_HFinal-Crossed-PostP.m.Under.r.Left,Grammar_HFinal-Crossed-PostP.m.Right.r.Under,Grammar_HFinal-Crossed-PostP.m.Under.r.Right
0,49,A1,crossed,head initial,1,0,True,valtal,valtal,v,v,1.0,vkst,left,atop,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v
22,71,A1,crossed,head initial,3,"[[1,[2]],2]",True,tontin siso siso rae moy,kolkul siso siso rae moy,tssrm,kssrm,0.8,vkst,left,atop,krsms,krsrs,srkms,srkrs,smkrs,srkrs,smsrk,srsrk,smsrk,srsrk,smkrs,srkrs,srkms,srkrs,krsms,krsrs,kssmr,kssrr,sksmr,sksrr,sksrm,sksrr,sskrm,sskrr,rmssk,rrssk,rmsks,rrsks,mrsks,rrsks,mrkss,rrkss,rmkss,rrkss,rmsks,rrsks,mrsks,rrsks,mrssk,rrssk,kssrm,kssrr,sksrm,sksrr,sksmr,sksrr,sskmr,sskrr,mrssk,rrssk,mrsks,rrsks,rmsks,rrsks,rmkss,rrkss,sskmr,sskrr,sksmr,sksrr,sksrm,sksrr,kssrm,kssrr
23,72,A1,crossed,head initial,3,"[[0,3],[1]]",True,valtal tontin moy kolkul rae,valtal tontin kolkul moy rae,vtmkr,vtkmr,0.8,vkst,left,atop,vmtrk,vmtmk,krvmt,kmvmt,tmvrk,tmvmk,krtmv,kmtmv,krtmv,kmtmv,tmvrk,tmvmk,krvmt,kmvmt,vmtrk,vmtmk,vtkrm,vtkmm,kvtmr,kvtmm,tvkrm,tvkmm,ktvmr,ktvmm,mrktv,mmktv,rmtvk,mmtvk,mrkvt,mmkvt,rmvtk,mmvtk,mrvtk,mmvtk,rmkvt,mmkvt,mrtvk,mmtvk,rmktv,mmktv,vtkmr,vtkmm,kvtrm,kvtmm,tvkmr,tvkmm,ktvrm,ktvmm,rmktv,mmktv,mrtvk,mmtvk,rmkvt,mmkvt,mrvtk,mmvtk,ktvrm,ktvmm,tvkmr,tvkmm,kvtrm,kvtmm,vtkmr,vtkmm
24,73,A1,crossed,head initial,3,"[0,[[1,1]]]",False,valtal rae kolkul kolkul moy,valtal kolkul kolkul rae moy,vrkkm,vkkrm,0.6,vkst,left,atop,vrkmk,vmkrk,kmkrv,krkmv,vrkmk,vmkrk,kmkrv,krkmv,kmkrv,krkmv,vrkmk,vmkrk,kmkrv,krkmv,vrkmk,vmkrk,vkkmr,vkkrm,kkvrm,kkvmr,vkkmr,vkkrm,kkvrm,kkvmr,rmkkv,mrkkv,mrvkk,rmvkk,rmkkv,mrkkv,mrvkk,rmvkk,rmvkk,mrvkk,mrkkv,rmkkv,rmvkk,mrvkk,mrkkv,rmkkv,vkkrm,vkkmr,kkvmr,kkvrm,vkkrm,vkkmr,kkvmr,kkvrm,mrkkv,rmkkv,rmvkk,mrvkk,mrkkv,rmkkv,rmvkk,mrvkk,kkvmr,kkvrm,vkkrm,vkkmr,kkvmr,kkvrm,vkkrm,vkkmr
25,74,A1,crossed,head initial,3,"[[3,3],0]",False,tontin tontin valtal rae moy,tontin tontin valtal moy moy,ttvrm,ttvmm,0.8,vkst,left,atop,tmtmv,tmtrv,tmtmv,tmtrv,vmtmt,vrtmt,vmtmt,vrtmt,vmtmt,vrtmt,vmtmt,vrtmt,tmtmv,tmtrv,tmtmv,tmtrv,ttvmm,ttvrm,ttvmm,ttvrm,vttmm,vttmr,vttmm,vttmr,mmvtt,mrvtt,mmvtt,mrvtt,mmttv,rmttv,mmttv,rmttv,mmttv,mrttv,mmttv,mrttv,mmvtt,rmvtt,mmvtt,rmvtt,ttvmm,ttvmr,ttvmm,ttvmr,vttmm,vttrm,vttmm,vttrm,mmvtt,rmvtt,mmvtt,rmvtt,mmttv,mrttv,mmttv,mrttv,vttmm,vttrm,vttmm,vttrm,ttvmm,ttvmr,ttvmm,ttvmr
26,75,A1,crossed,head initial,3,"[[1,[1]],0]",False,kolkul kolkul rae valtal moy,kolkul kolkul valtal rae moy,kkrvm,kkvrm,0.8,vkst,left,atop,krkmv,krkrv,krkmv,krkrv,vmkrk,vrkrk,vmkrk,vrkrk,vmkrk,vrkrk,vmkrk,vrkrk,krkmv,krkrv,krkmv,krkrv,kkvmr,kkvrr,kkvmr,kkvrr,vkkrm,vkkrr,vkkrm,vkkrr,rmvkk,rrvkk,rmvkk,rrvkk,mrkkv,rrkkv,mrkkv,rrkkv,rmkkv,rrkkv,rmkkv,rrkkv,mrvkk,rrvkk,mrvkk,rrvkk,kkvrm,kkvrr,kkvrm,kkvrr,vkkmr,vkkrr,vkkmr,vkkrr,mrvkk,rrvkk,mrvkk,rrvkk,rmkkv,rrkkv,rmkkv,rrkkv,vkkmr,vkkrr,vkkmr,vkkrr,kkvrm,kkvrr,kkvrm,kkvrr
27,76,A1,crossed,head initial,3,"[[1,2],0]",False,kolkul siso valtal moy moy,kolkul siso valtal moy moy,ksvmm,ksvmm,1.0,vkst,left,atop,kmsmv,kmsrv,kmsmv,kmsrv,vmsmk,vrsmk,vmsmk,vrsmk,vmsmk,vrsmk,vmsmk,vrsmk,kmsmv,kmsrv,kmsmv,kmsrv,ksvmm,ksvrm,ksvmm,ksvrm,vskmm,vskmr,vskmm,vskmr,mmvsk,mrvsk,mmvsk,mrvsk,mmksv,rmksv,mmksv,rmksv,mmksv,mrksv,mmksv,mrksv,mmvsk,rmvsk,mmvsk,rmvsk,ksvmm,ksvmr,ksvmm,ksvmr,vskmm,vskrm,vskmm,vskrm,mmvsk,rmvsk,mmvsk,rmvsk,mmksv,mrksv,mmksv,mrksv,vskmm,vskrm,vskmm,vskrm,ksvmm,ksvmr,ksvmm,ksvmr
28,77,A1,crossed,head initial,4,"[3,[2,[2,[3]]]]",False,tontin siso moy moy siso tontin rae,tontin siso siso tontin moy moy rae,tsmmstr,tsstmmr,0.42857142857142894,vkst,left,atop,tmsmsrt,trsmsmt,tmsmtrs,trsmtms,srtmsmt,smtmsrt,trsmsmt,tmsmsrt,trsmsmt,tmsmsrt,srtmsmt,smtmsrt,tmsmtrs,trsmtms,tmsmsrt,trsmsmt,tsstrmm,tsstmmr,tstsrmm,tstsmmr,ststmmr,ststrmm,tsstmmr,tsstrmm,mmrtsst,rmmtsst,mmrstst,rmmstst,rmmtsts,mmrtsts,rmmtsst,mmrtsst,mmrtsst,rmmtsst,mmrtsts,rmmtsts,rmmstst,mmrstst,rmmtsst,mmrtsst,tsstmmr,tsstrmm,tstsmmr,tstsrmm,ststrmm,ststmmr,tsstrmm,tsstmmr,rmmtsst,mmrtsst,rmmstst,mmrstst,mmrtsts,rmmtsts,mmrtsst,rmmtsst,tsstrmm,tsstmmr,ststrmm,ststmmr,tstsmmr,tstsrmm,tsstmmr,tsstrmm
30,79,A1,crossed,head initial,4,"[[[3,1],[3]],3]",False,tontin kolkul moy tontin rae tontin moy,tontin kolkul tontin tontin moy rae moy,tkmtrtm,tkttmrm,0.5714285714285711,vkst,left,atop,tmkrtmt,trkrtrt,trtmkmt,trtrkrt,tmkmtrt,trkrtrt,tmtrkmt,trtrkrt,tmtrkmt,trtrkrt,tmkmtrt,trkrtrt,trtmkmt,trtrkrt,tmkrtmt,trkrtrt,tkttmrm,tkttrrr,ttktmmr,ttktrrr,tkttrmm,tkttrrr,ttktmrm,ttktrrr,mrmttkt,rrrttkt,rmmtktt,rrrtktt,mmrttkt,rrrttkt,mrmtktt,rrrtktt,mrmtktt,rrrtktt,rmmttkt,rrrttkt,mmrtktt,rrrtktt,mrmttkt,rrrttkt,tkttmrm,tkttrrr,ttktrmm,ttktrrr,tkttmmr,tkttrrr,ttktmrm,ttktrrr,mrmttkt,rrrttkt,mmrtktt,rrrtktt,rmmttkt,rrrttkt,mrmtktt,rrrtktt,ttktmrm,ttktrrr,tkttmmr,tkttrrr,ttktrmm,ttktrrr,tkttmrm,tkttrrr
31,80,A1,crossed,head initial,4,"[0,[[3,[[1,1]]]]]",False,valtal rae tontin rae kolkul kolkul moy,valtal tontin kolkul kolkul rae rae moy,vrtrkkm,vtkkrrm,0.42857142857142894,vkst,left,atop,vrtrkmk,vmtmkrk,kmkrtrv,krkmtmv,vrtrkmk,vmtmkrk,kmkrtrv,krkmtmv,kmkrtrv,krkmtmv,vrtrkmk,vmtmkrk,kmkrtrv,krkmtmv,vrtrkmk,vmtmkrk,vtkkmrr,vtkkrmm,kktvrrm,kktvmmr,vtkkmrr,vtkkrmm,kktvrrm,kktvmmr,rrmkktv,mmrkktv,mrrvtkk,rmmvtkk,rrmkktv,mmrkktv,mrrvtkk,rmmvtkk,rrmvtkk,mmrvtkk,mrrkktv,rmmkktv,rrmvtkk,mmrvtkk,mrrkktv,rmmkktv,vtkkrrm,vtkkmmr,kktvmrr,kktvrmm,vtkkrrm,vtkkmmr,kktvmrr,kktvrmm,mrrkktv,rmmkktv,rrmvtkk,mmrvtkk,mrrkktv,rmmkktv,rrmvtkk,mmrvtkk,kktvmrr,kktvrmm,vtkkrrm,vtkkmmr,kktvmrr,kktvrmm,vtkkrrm,vtkkmmr
