"","workerId","conditionCE","conditionHeadN","level","arrayTraining","seenInTraining","participantText","compositionalAnswer","encodingCorrected","encodingCompositional","correctness","consonants","prepMGloss","prepRGloss"
"49","A1","crossed","head initial",1,"0","true","valtal","valtal","v","v",1,"vkst","left","atop"
"50","A1","crossed","head initial",1,"1","true","kolkul","kolkul","k","k",1,"vkst","left","atop"
"51","A1","crossed","head initial",1,"2","true","siso","siso","s","s",1,"vkst","left","atop"
"52","A1","crossed","head initial",1,"3","true","tontin","tontin","t","t",1,"vkst","left","atop"
"53","A1","crossed","head initial",2,"[3,3]","true","tontin moy moy","tontin tontin moy","tmm","ttm",0.666666666666667,"vkst","left","atop"
"54","A1","crossed","head initial",2,"[1,3]","true","kolkul tontin moy","kolkul tontin moy","ktm","ktm",1,"vkst","left","atop"
"55","A1","crossed","head initial",2,"[0,[1]]","true","valtal kolkul rae","valtal kolkul rae","vkr","vkr",1,"vkst","left","atop"
"56","A1","crossed","head initial",2,"[3,[1]]","true","tontin kolkul rae","tontin kolkul rae","tkr","tkr",1,"vkst","left","atop"
"57","A1","crossed","head initial",2,"[2,[1]]","true","siso tontin rae","siso kolkul rae","str","skr",0.666666666666667,"vkst","left","atop"
"58","A1","crossed","head initial",2,"[2,1]","true","siso tontin moy","siso kolkul moy","stm","skm",0.666666666666667,"vkst","left","atop"
"59","A1","crossed","head initial",2,"[0,0]","true","valtal valtal moy","valtal valtal moy","vvm","vvm",1,"vkst","left","atop"
"60","A1","crossed","head initial",2,"[3,[0]]","true","tontin valtal rae","tontin valtal rae","tvr","tvr",1,"vkst","left","atop"
"61","A1","crossed","head initial",2,"[2,2]","false","siso siso moy","siso siso moy","ssm","ssm",1,"vkst","left","atop"
"62","A1","crossed","head initial",2,"[2,[3]]","false","siso tontin rae","siso tontin rae","str","str",1,"vkst","left","atop"
"63","A1","crossed","head initial",2,"[0,[2]]","false","valtal siso rae","valtal siso rae","vsr","vsr",1,"vkst","left","atop"
"64","A1","crossed","head initial",2,"[0,1]","false","valtal kolkul moy","valtal kolkul moy","vkm","vkm",1,"vkst","left","atop"
"65","A1","crossed","head initial",3,"[[3,[3]],[2]]","true","tontin tontin moy siso rae","tontin tontin siso rae rae","ttmsr","ttsrr",0.6,"vkst","left","atop"
"66","A1","crossed","head initial",3,"[2,[3,[0]]]","true","siso tontin valtal moy rae","siso tontin valtal moy rae","stvmr","stvmr",1,"vkst","left","atop"
"67","A1","crossed","head initial",3,"[0,[[2,0]]]","true","valtal siso valtal rae moy","valtal siso valtal rae moy","vsvrm","vsvrm",1,"vkst","left","atop"
"68","A1","crossed","head initial",3,"[[3,2],[0]]","true","tontin siso rae valtal moy","tontin siso valtal moy rae","tsrvm","tsvmr",0.6,"vkst","left","atop"
"69","A1","crossed","head initial",3,"[[1,[2]],[2]]","true","tontin siso siso rae rae","kolkul siso siso rae rae","tssrr","kssrr",0.8,"vkst","left","atop"
"70","A1","crossed","head initial",3,"[1,[3,[3]]]","true","kolkul moy tontin tontin rae","kolkul tontin tontin moy rae","kmttr","kttmr",0.6,"vkst","left","atop"
"71","A1","crossed","head initial",3,"[[1,[2]],2]","true","tontin siso siso rae moy","kolkul siso siso rae moy","tssrm","kssrm",0.8,"vkst","left","atop"
"72","A1","crossed","head initial",3,"[[0,3],[1]]","true","valtal tontin moy kolkul rae","valtal tontin kolkul moy rae","vtmkr","vtkmr",0.8,"vkst","left","atop"
"73","A1","crossed","head initial",3,"[0,[[1,1]]]","false","valtal rae kolkul kolkul moy","valtal kolkul kolkul rae moy","vrkkm","vkkrm",0.6,"vkst","left","atop"
"74","A1","crossed","head initial",3,"[[3,3],0]","false","tontin tontin valtal rae moy","tontin tontin valtal moy moy","ttvrm","ttvmm",0.8,"vkst","left","atop"
"75","A1","crossed","head initial",3,"[[1,[1]],0]","false","kolkul kolkul rae valtal moy","kolkul kolkul valtal rae moy","kkrvm","kkvrm",0.8,"vkst","left","atop"
"76","A1","crossed","head initial",3,"[[1,2],0]","false","kolkul siso valtal moy moy","kolkul siso valtal moy moy","ksvmm","ksvmm",1,"vkst","left","atop"
"77","A1","crossed","head initial",4,"[3,[2,[2,[3]]]]","false","tontin siso moy moy siso tontin rae","tontin siso siso tontin moy moy rae","tsmmstr","tsstmmr",0.428571428571429,"vkst","left","atop"
"78","A1","crossed","head initial",4,"[1,[[2,[2,1]]]]","false","tontin rae siso siso kolkul moy moy","kolkul siso siso kolkul rae moy moy","trsskmm","ksskrmm",0.571428571428571,"vkst","left","atop"
"79","A1","crossed","head initial",4,"[[[3,1],[3]],3]","false","tontin kolkul moy tontin rae tontin moy","tontin kolkul tontin tontin moy rae moy","tkmtrtm","tkttmrm",0.571428571428571,"vkst","left","atop"
"80","A1","crossed","head initial",4,"[0,[[3,[[1,1]]]]]","false","valtal rae tontin rae kolkul kolkul moy","valtal tontin kolkul kolkul rae rae moy","vrtrkkm","vtkkrrm",0.428571428571429,"vkst","left","atop"
"81","A1","crossed","head initial",4,"[[[0,1],0],[2]]","false","valtal valtal moy kolkul moy siso rae","valtal kolkul valtal siso moy moy rae","vvmkmsr","vkvsmmr",0.428571428571429,"vkst","left","atop"
"82","A1","crossed","head initial",4,"[[[2,0],1],2]","false","siso moy valtal moy kolkul moy siso","siso valtal kolkul siso moy moy moy","smvmkms","svksmmm",0.285714285714286,"vkst","left","atop"
"83","A1","crossed","head initial",4,"[0,[3,[[0,[0]]]]]","false","valtal moy tontin rae valtal rae valtal","valtal tontin valtal valtal moy rae rae","vmtrvrv","vtvvmrr",0.428571428571429,"vkst","left","atop"
"84","A1","crossed","head initial",4,"[[[2,[1]],[2]],[3]]","false","siso kolkul siso tontin rae rae rae","siso kolkul siso tontin rae rae rae","skstrrr","skstrrr",1,"vkst","left","atop"
"85","A1","crossed","head initial",4,"[2,[0,[[2,3]]]]","false","siso moy valtal rae siso tontin rae","siso valtal siso tontin moy rae moy","smvrstr","svstmrm",0.428571428571429,"vkst","left","atop"
"86","A1","crossed","head initial",4,"[[[1,[1]],3],0]","false","kolkul kolkul rae moy tontin valtal moy","kolkul kolkul tontin valtal rae moy moy","kkrmtvm","kktvrmm",0.428571428571429,"vkst","left","atop"
"87","A1","crossed","head initial",4,"[[[1,[0]],[0]],1]","false","kolkul valtal valtal rae moy kolkul rae","kolkul valtal valtal kolkul rae rae moy","kvvrmkr","kvvkrrm",0.428571428571429,"vkst","left","atop"
"88","A1","crossed","head initial",4,"[[[3,3],[0]],[2]]","false","tontin tontin moy valtal rae siso rae","tontin tontin valtal siso moy rae rae","ttmvrsr","ttvsmrr",0.428571428571429,"vkst","left","atop"
"938","A10","crossed","head final",1,"0","true","sulsal","sulsal","s","s",1,"stkv","under","atop"
"939","A10","crossed","head final",1,"1","true","tinkin","tinkin","t","t",1,"stkv","under","atop"
"940","A10","crossed","head final",1,"2","true","kakan","kakan","k","k",1,"stkv","under","atop"
"941","A10","crossed","head final",1,"3","true","volsol","volsol","v","v",1,"stkv","under","atop"
"942","A10","crossed","head final",2,"[3,3]","true","moy volsol volsol","moy volsol volsol","mvv","mvv",1,"stkv","under","atop"
"943","A10","crossed","head final",2,"[1,3]","true","moy volsol tinkin","moy volsol tinkin","mvt","mvt",1,"stkv","under","atop"
"944","A10","crossed","head final",2,"[0,[1]]","true","rae tinkin sulsal","rae tinkin sulsal","rts","rts",1,"stkv","under","atop"
"945","A10","crossed","head final",2,"[3,[1]]","true","rae tinkin volsol","rae tinkin volsol","rtv","rtv",1,"stkv","under","atop"
"946","A10","crossed","head final",2,"[2,[1]]","true","rae tinkin volsol","rae tinkin kakan","rtv","rtk",0.666666666666667,"stkv","under","atop"
"947","A10","crossed","head final",2,"[2,1]","true","moy tinkin kakan","moy tinkin kakan","mtk","mtk",1,"stkv","under","atop"
"948","A10","crossed","head final",2,"[0,0]","true","moy sulsal sulsal","moy sulsal sulsal","mss","mss",1,"stkv","under","atop"
"949","A10","crossed","head final",2,"[3,[0]]","true","rae sulsal volsol","rae sulsal volsol","rsv","rsv",1,"stkv","under","atop"
"950","A10","crossed","head final",2,"[2,2]","false","kakan kakan rae","moy kakan kakan","kkr","mkk",0.333333333333333,"stkv","under","atop"
"951","A10","crossed","head final",2,"[2,[3]]","false","kakan volsol rae","rae volsol kakan","kvr","rvk",0.333333333333333,"stkv","under","atop"
"952","A10","crossed","head final",2,"[0,[2]]","false","rae sulsal kakan","rae kakan sulsal","rsk","rks",0.666666666666667,"stkv","under","atop"
"953","A10","crossed","head final",2,"[0,1]","false","rae sulsal tinkin","moy tinkin sulsal","rst","mts",0.333333333333333,"stkv","under","atop"
"954","A10","crossed","head final",3,"[[3,[3]],[2]]","true","volsol volsol kakan rae moy","rae rae kakan volsol volsol","vvkrm","rrkvv",0.2,"stkv","under","atop"
"955","A10","crossed","head final",3,"[2,[3,[0]]]","true","kakan moy tinkin volsol sulsal","rae moy sulsal volsol kakan","kmtvs","rmsvk",0.4,"stkv","under","atop"
